date,TMP_mea,TMP_max,TMP_min,APCP,APCPRA,SSD,GSR,DLR,RH,Pref
2023-10-20,17.7475528717041,23.25313949584961,14.132834434509277,6.223694801330566,6.800000190734863,0.01651500165462494,3.6271183490753174,32.098465,84.56883,Kagoshima
2023-10-21,15.186253547668457,19.694459915161133,9.76754379272461,0.0,0.0,8.63113784790039,16.915502548217773,27.055885,59.570686,Kagoshima
2023-10-22,14.433682441711426,22.39548110961914,8.67811393737793,0.0,0.0,9.359559059143066,17.222740173339844,27.202728,78.64341,Kagoshima
2023-10-23,15.472580909729004,23.216848373413086,10.09394359588623,0.0,0.0,10.143465995788574,18.097742080688477,27.373693,79.60971,Kagoshima
2023-10-24,15.974376678466797,23.74479103088379,11.167402267456055,0.0,0.0,8.451952934265137,14.930017471313477,28.306475,79.29212,Kagoshima
2023-10-25,16.685688018798828,24.125452041625977,11.39109992980957,0.0,0.0,10.179787635803223,17.648540496826172,27.998129,80.31968,Kagoshima
2023-09-01,28.537446975708008,32.99761962890625,25.639768600463867,0.0,0.0,12.21599006652832,24.917469024658203,36.196667,71.45536,Kanagawa
2023-09-02,28.613500595092773,33.43997573852539,25.721174240112305,0.0,0.0,10.220036506652832,22.312108993530273,36.862556,74.9112,Kanagawa
2023-09-03,28.7052059173584,33.8929557800293,25.531091690063477,2.9654319286346436,10.399999618530273,6.60945987701416,16.594104766845703,37.788376,75.757385,Kanagawa
2023-09-04,26.35920524597168,29.212757110595703,25.18486785888672,23.76034164428711,21.799999237060547,1.1466857194900513,8.927656173706055,37.539394,94.309395,Kanagawa
2023-09-05,28.358396530151367,32.03056716918945,25.515018463134766,0.0,0.4000000059604645,11.570863723754883,23.873497009277344,36.75437,78.97717,Kanagawa
2023-09-06,27.09377670288086,31.01812171936035,24.427902221679688,3.551223039627075,5.099999904632568,3.1926379203796387,13.679647445678711,38.444126,79.00551,Kanagawa
2023-09-07,26.02497673034668,28.945241928100586,24.10209846496582,4.3697829246521,6.900000095367432,0.43845894932746887,9.783872604370117,38.054935,76.72473,Kanagawa
2023-09-08,21.98259162902832,24.57578468322754,20.276630401611328,96.38042449951172,95.4000015258789,0.05466389283537865,2.6830697059631348,35.98149,96.104385,Kanagawa
2023-09-09,25.226762771606445,29.169050216674805,22.366764068603516,3.459407091140747,3.200000047683716,3.9347429275512695,11.372156143188477,35.94614,90.500435,Kanagawa
2023-09-10,27.34899139404297,31.397024154663086,24.453901290893555,0.0,0.0,8.002685546875,17.60032844543457,36.94457,83.82564,Kanagawa
2023-09-11,27.090269088745117,31.61376953125,25.110736846923828,0.0,0.800000011920929,5.349905014038086,16.95991325378418,36.957706,82.56622,Kanagawa
2023-09-12,26.766950607299805,31.039949417114258,23.99139404296875,0.0,0.6000000238418579,9.332218170166016,20.737987518310547,35.90883,77.94689,Kanagawa
2023-09-13,27.1655330657959,32.115325927734375,22.88676643371582,0.0,0.0,11.553059577941895,22.035497665405273,35.57397,76.24429,Kanagawa
2023-09-14,27.88410186767578,31.912525177001953,24.74948501586914,0.0,0.0,10.873567581176758,20.98332405090332,36.655777,79.28938,Kanagawa
2023-09-15,28.23758888244629,32.49472427368164,26.005735397338867,7.577075958251953,5.099999904632568,7.035584926605225,13.624231338500977,38.52815,81.9054,Kanagawa
2023-09-16,28.218881607055664,31.910808563232422,25.867250442504883,0.0,0.0,7.026649475097656,18.935510635375977,37.35936,83.31784,Kanagawa
2023-09-17,28.592641830444336,32.043724060058594,26.31075668334961,0.0,0.0,8.634684562683105,18.56515121459961,37.039986,77.070465,Kanagawa
2023-09-18,28.525514602661133,31.819957733154297,26.613609313964844,0.0,0.0,11.307157516479492,21.09402847290039,36.278866,75.48467,Kanagawa
2023-09-19,28.38267707824707,31.633459091186523,25.862926483154297,0.0,0.0,11.180806159973145,20.701194763183594,36.1772,74.492744,Kanagawa
